post_id,caption_text,topic,hashtags_count,post_length,likes,shares,comments,is_viral
109,stay consistent and grow,tech,1,185,12542,4352,7132,0
110,hard work always pays off,motivation,0,111,9055,539,3678,0
111,hard work always pays off,meme,11,54,45095,734,3105,1
112,hard work always pays off,news,13,227,46669,4707,3435,1
113,coding memes are funny,tech,0,164,2386,7599,2413,1
114,hard work always pays off,meme,3,124,7857,364,1594,0
115,learning ai is the future,tech,7,269,35815,5233,5585,0
116,learning ai is the future,,7,276,6223,4033,1277,1
117,learning ai is the future,news,7,296,8072,310,2795,0
118,stay consistent and grow,education,10,271,24768,4452,1234,1
119,this post will change your life,meme,0,83,30343,2717,3255,1
120,breaking news happening now,news,13,237,19750,8435,4150,0
121,this post will change your life,education,0,195,41612,2529,2127,1
122,stay consistent and grow,education,6,89,22210,7807,7379,1
123,this post will change your life,news,6,128,11116,2176,4301,1
124,coding memes are funny,motivation,9,78,23043,2583,7858,0
125,stay consistent and grow,news,13,221,34742,5514,1321,1
126,this post will change your life,tech,4,293,28486,8293,2755,0
127,coding memes are funny,motivation,7,53,7353,9846,5775,0
128,,education,5,183,2376,5381,151,0
129,learning ai is the future,meme,0,182,42258,8969,5920,0
130,learning ai is the future,education,13,28,22152,5055,5921,0
131,this post will change your life,meme,6,281,1558,2033,7372,0
132,this post will change your life,meme,14,85,4620,8559,3113,1
133,,news,7,151,1500,7793,1617,0
134,learning ai is the future,news,11,199,20382,3029,3416,1
135,,education,7,70,44359,7440,1119,0
136,hard work always pays off,news,9,68,38674,4610,6432,0
137,learning ai is the future,education,12,36,5124,8955,4581,0
138,,news,14,110,12762,1791,7131,0
139,hard work always pays off,news,8,157,46502,7325,7459,1
140,learning ai is the future,meme,2,11,44407,6625,4332,0
141,breaking news happening now,motivation,13,117,34701,3866,1384,0
142,coding memes are funny,news,1,193,21653,9091,6821,1
143,coding memes are funny,,7,285,3477,9632,2936,0
144,breaking news happening now,,13,258,37309,4010,1665,1
145,hard work always pays off,,10,96,26035,5770,3201,1
146,this post will change your life,news,3,208,37657,6643,2357,0
147,this post will change your life,education,1,12,14452,3918,2572,1
148,coding memes are funny,meme,1,246,11703,6995,9,1
149,this post will change your life,,1,231,37259,3761,3569,1
150,hard work always pays off,meme,4,285,4047,6833,7235,0
151,,motivation,13,226,45031,9421,3484,0
152,this post will change your life,motivation,12,232,26251,2839,7667,1
153,learning ai is the future,motivation,7,57,15711,2871,4877,0
154,breaking news happening now,news,8,285,22916,1313,4772,0
155,coding memes are funny,education,10,30,4707,2640,4702,1
156,,,5,12,32245,7303,5035,0
157,this post will change your life,tech,7,201,28283,4000,3995,1
158,,,14,151,47862,3346,614,0
159,hard work always pays off,,5,208,1259,395,5468,1
160,this post will change your life,education,0,228,19971,2051,6729,1
161,,meme,10,202,12134,9438,1818,1
162,breaking news happening now,motivation,8,251,40540,6590,3262,1
163,learning ai is the future,tech,9,268,9170,9387,0,0
164,stay consistent and grow,meme,6,191,37656,9591,628,1
165,coding memes are funny,motivation,1,137,22242,4244,4326,0
166,coding memes are funny,,2,163,42167,7462,514,0
167,hard work always pays off,tech,1,122,45330,2890,7179,1
168,learning ai is the future,education,8,50,40726,8736,2749,0
169,this post will change your life,,7,136,31582,4053,3097,1
170,this post will change your life,meme,4,36,18002,422,7771,0
171,stay consistent and grow,news,3,101,25183,6938,764,1
172,,,6,82,44236,4827,5522,0
173,stay consistent and grow,tech,13,271,18477,4566,4599,1
174,,tech,13,269,9404,8872,6067,1
175,stay consistent and grow,,8,189,21062,3849,1633,0
176,hard work always pays off,,7,188,11308,5526,661,0
177,learning ai is the future,education,7,55,39639,3276,5028,0
178,hard work always pays off,education,10,224,31352,670,7966,0
179,breaking news happening now,meme,1,6,49581,2202,5094,1
180,breaking news happening now,news,11,81,7566,6412,3868,0
181,this post will change your life,motivation,11,43,35144,9654,283,1
182,breaking news happening now,,9,38,20257,2617,4081,0
183,hard work always pays off,tech,8,234,40546,2812,6692,0
184,coding memes are funny,tech,1,175,29745,9518,1588,1
185,breaking news happening now,meme,7,255,13686,97,1467,0
186,,motivation,4,70,650,3118,706,1
187,hard work always pays off,motivation,10,31,30551,1990,2295,0
188,coding memes are funny,,5,71,27305,6955,342,1
189,,motivation,9,194,7380,5323,1752,0
190,coding memes are funny,meme,8,247,37884,2661,2809,1
191,stay consistent and grow,tech,7,122,45994,6149,3565,1
192,,education,4,173,16442,345,2517,1
193,stay consistent and grow,tech,5,91,35838,8082,6052,0
194,breaking news happening now,education,4,101,27275,5384,3620,0
195,learning ai is the future,education,8,274,31688,3148,2222,1
196,stay consistent and grow,meme,10,65,16907,1953,3724,1
197,breaking news happening now,,11,54,16923,4798,938,1
198,breaking news happening now,motivation,4,17,35548,2785,4565,0
199,learning ai is the future,,5,200,11949,7900,7088,1
200,breaking news happening now,meme,0,279,11116,8678,875,1
201,hard work always pays off,,7,220,25442,9099,1366,1
202,learning ai is the future,,13,296,11036,7041,2593,1
203,hard work always pays off,education,7,272,13439,5038,6482,1
204,coding memes are funny,tech,13,17,40434,1123,6548,0
205,learning ai is the future,education,7,28,32399,9524,5613,1
206,coding memes are funny,meme,12,178,48895,8273,3015,0
207,stay consistent and grow,,13,275,11053,6612,7485,0
208,this post will change your life,,11,98,44251,951,445,1
209,,tech,6,100,47296,6677,968,1
210,this post will change your life,motivation,6,39,2844,120,1048,1
211,hard work always pays off,meme,5,246,3623,2698,3376,1
212,coding memes are funny,,6,211,27141,1638,3851,0
213,coding memes are funny,,8,154,3236,6695,5649,0
214,learning ai is the future,news,4,285,48021,7977,36,0
215,this post will change your life,,8,284,48390,3846,26,0
216,hard work always pays off,education,13,168,36015,8006,2578,1
217,hard work always pays off,motivation,8,272,38123,5687,3109,0
218,learning ai is the future,motivation,3,41,21246,9541,2738,0
219,learning ai is the future,,8,22,34699,6233,6322,0
220,stay consistent and grow,tech,7,115,14760,8136,5564,1
221,hard work always pays off,meme,13,229,1265,7927,4345,1
222,learning ai is the future,,10,272,44779,5027,1604,1
223,stay consistent and grow,,4,201,106,4482,2334,0
224,coding memes are funny,education,9,101,31606,3068,238,1
225,hard work always pays off,,14,162,2035,3256,3850,1
226,breaking news happening now,news,10,21,45652,2667,1481,1
227,this post will change your life,education,2,39,16829,5567,1931,1
228,this post will change your life,,8,202,34104,4253,5318,1
229,breaking news happening now,,2,121,40875,6058,2662,0
230,breaking news happening now,meme,2,243,14925,423,1783,1
231,,motivation,2,15,46268,733,4577,1
232,coding memes are funny,news,0,31,24915,664,5019,1
233,hard work always pays off,tech,5,274,20706,3421,15,1
234,learning ai is the future,meme,2,103,36122,5145,532,0
235,this post will change your life,education,9,130,45744,2370,5915,1
236,breaking news happening now,meme,14,216,28091,8364,4651,1
237,,tech,2,126,5573,8904,3281,0
238,hard work always pays off,education,8,79,43590,5064,1637,1
239,learning ai is the future,news,6,9,48556,7258,2276,1
240,,education,14,162,46860,631,6169,0
241,this post will change your life,education,13,240,46373,4218,4784,1
242,hard work always pays off,tech,7,207,32144,7037,3755,1
243,this post will change your life,education,0,212,5093,3536,4327,1
244,coding memes are funny,meme,7,285,355,3542,4511,0
245,,motivation,7,285,22656,7512,7590,0
246,this post will change your life,tech,11,66,21376,1310,1193,1
247,coding memes are funny,tech,11,229,38482,773,5308,1
248,coding memes are funny,tech,13,261,36722,1508,768,1
249,coding memes are funny,meme,7,120,5580,958,6683,0
250,learning ai is the future,meme,5,179,42346,2721,48,1
251,stay consistent and grow,meme,9,287,24211,151,4159,0
252,learning ai is the future,,13,298,7211,4025,3328,0
253,coding memes are funny,meme,4,213,33736,5833,4643,0
254,hard work always pays off,education,3,144,806,9593,2070,0
255,stay consistent and grow,tech,10,70,34323,2362,695,0
256,stay consistent and grow,,8,204,20888,1815,5005,0
257,coding memes are funny,tech,6,37,31627,8125,3816,0
258,,news,11,145,9655,1329,4679,0
259,hard work always pays off,motivation,14,47,19925,9469,6331,1
260,this post will change your life,education,13,153,25984,7644,1727,1
261,learning ai is the future,motivation,14,215,30896,1110,3694,0
262,hard work always pays off,education,0,290,7106,1314,7218,0
263,stay consistent and grow,education,10,280,35815,6520,5116,0
264,hard work always pays off,education,0,86,1620,8021,4102,0
265,hard work always pays off,tech,0,217,26142,7813,1781,1
266,breaking news happening now,motivation,3,124,26344,2743,825,0
267,learning ai is the future,motivation,8,267,922,5462,5705,1
268,breaking news happening now,meme,2,201,22876,8956,476,1
269,this post will change your life,motivation,9,269,3577,1892,1680,1
270,hard work always pays off,meme,0,49,25577,937,2964,1
271,learning ai is the future,news,13,22,8186,6035,5621,0
272,stay consistent and grow,meme,0,118,38185,2698,3403,1
273,learning ai is the future,,2,5,27015,5463,3507,1
274,learning ai is the future,education,12,241,13602,696,377,1
275,hard work always pays off,tech,14,41,45676,9169,4058,0
276,stay consistent and grow,,10,24,41506,2310,2048,0
277,coding memes are funny,education,14,190,7958,3247,396,1
278,,news,6,124,5654,8788,7091,1
279,coding memes are funny,,7,45,12010,5367,7547,0
280,coding memes are funny,tech,3,239,49453,1614,5434,0
281,breaking news happening now,news,11,85,48102,4315,6067,1
282,hard work always pays off,,1,31,21266,2651,638,0
283,this post will change your life,education,6,25,20558,462,6748,1
284,breaking news happening now,tech,8,250,14919,628,945,0
285,learning ai is the future,news,9,48,25184,1242,4409,0
286,coding memes are funny,,5,176,482,6056,2727,1
287,learning ai is the future,meme,13,265,1767,6731,4040,1
288,breaking news happening now,motivation,1,201,21937,5310,4397,0
289,stay consistent and grow,education,8,224,49566,7262,3844,0
290,coding memes are funny,meme,6,153,42694,3074,5475,0
291,hard work always pays off,news,8,12,6995,5432,7011,1
292,coding memes are funny,news,10,169,10878,2245,2404,1
293,coding memes are funny,,1,112,9125,5779,5197,0
294,stay consistent and grow,,9,153,20792,3250,151,1
295,coding memes are funny,tech,3,223,47879,3751,721,1
296,breaking news happening now,meme,5,253,10851,2624,1843,0
297,coding memes are funny,news,9,278,14861,4364,3251,1
298,stay consistent and grow,tech,6,201,33970,465,1612,1
299,breaking news happening now,motivation,13,166,39432,499,6048,1
300,learning ai is the future,motivation,2,103,3724,1971,4276,0
301,hard work always pays off,tech,13,94,10433,8715,3723,1
302,coding memes are funny,meme,12,161,14885,8875,4884,0
303,breaking news happening now,tech,9,202,1556,3353,4327,1
304,coding memes are funny,,10,94,9884,3881,5406,1
305,coding memes are funny,tech,10,214,45651,667,6687,1
306,stay consistent and grow,meme,4,165,9087,6872,494,0
307,coding memes are funny,motivation,10,100,33969,8660,6196,0
308,this post will change your life,news,3,222,35519,4911,7400,1
309,hard work always pays off,motivation,4,218,21887,3505,7265,1
310,hard work always pays off,,5,294,12558,4336,3852,0
311,breaking news happening now,meme,5,123,19380,1290,1820,1
312,learning ai is the future,education,13,123,43188,9160,5853,0
313,learning ai is the future,meme,6,53,24518,3572,5981,0
314,learning ai is the future,motivation,5,16,45314,7971,6792,1
315,coding memes are funny,motivation,13,258,22358,6640,6341,1
316,stay consistent and grow,meme,5,154,35110,8231,7214,1
317,breaking news happening now,meme,3,156,42956,3984,4854,0
318,,meme,1,157,12811,6948,7811,1
319,coding memes are funny,motivation,9,133,34144,688,1130,1
320,stay consistent and grow,,6,206,42746,7860,1614,0
321,this post will change your life,tech,6,166,48945,6507,330,0
322,breaking news happening now,education,10,277,9058,7790,7798,1
323,breaking news happening now,tech,2,133,17190,3908,5662,1
324,stay consistent and grow,,13,10,4354,7817,6205,0
325,,motivation,14,43,38062,232,2843,0
326,breaking news happening now,tech,4,152,33291,2350,5413,1
327,stay consistent and grow,meme,5,217,1578,3791,6959,1
328,this post will change your life,news,9,122,332,8090,3107,0
329,breaking news happening now,meme,8,156,19831,3103,7475,0
330,,education,2,45,41666,5431,4681,0
331,stay consistent and grow,meme,12,123,28157,3303,3677,0
332,stay consistent and grow,news,2,94,42606,4972,1385,1
333,this post will change your life,motivation,4,298,36953,7140,2190,1
334,learning ai is the future,tech,1,237,11017,8094,2304,1
335,stay consistent and grow,meme,2,42,1523,3698,971,1
336,stay consistent and grow,,14,288,42243,3874,2740,1
337,breaking news happening now,tech,14,255,267,2511,5875,0
338,coding memes are funny,education,5,270,38964,3687,7005,0
339,hard work always pays off,,2,156,48818,4259,6259,1
340,this post will change your life,,0,108,8463,6223,5700,1
341,learning ai is the future,tech,6,184,45200,4400,5976,1
342,,education,6,75,15847,2372,315,0
343,learning ai is the future,education,1,219,27486,8302,5655,0
344,hard work always pays off,,4,219,22937,7699,5078,1
345,breaking news happening now,meme,8,256,18177,5541,4254,1
346,,,12,54,32796,895,812,1
347,coding memes are funny,,2,243,40443,3254,410,0
348,hard work always pays off,,7,223,11613,9063,4626,1
349,breaking news happening now,news,3,181,17903,4938,3300,0
350,stay consistent and grow,tech,2,21,13998,8682,4107,0
351,,education,1,235,33441,4784,5462,0
352,breaking news happening now,education,13,90,9446,1035,4913,0
353,this post will change your life,education,14,198,41952,9555,593,0
354,coding memes are funny,motivation,12,137,28792,3354,6027,0
355,coding memes are funny,,8,194,2224,4248,3092,0
356,this post will change your life,tech,10,103,24922,5553,2872,0
357,breaking news happening now,tech,4,85,39055,8545,3193,0
358,breaking news happening now,education,8,195,12624,2082,2066,0
359,,tech,7,227,32458,3573,16,0
360,coding memes are funny,tech,2,247,23437,179,1978,1
361,coding memes are funny,motivation,3,122,19724,7655,4006,0
362,coding memes are funny,education,11,22,5026,9918,3963,0
363,coding memes are funny,tech,5,119,49113,3911,6216,0
364,breaking news happening now,news,10,209,14387,3729,4661,1
365,coding memes are funny,education,9,204,14872,6261,1213,1
366,stay consistent and grow,tech,11,259,6887,8911,1669,0
367,breaking news happening now,motivation,4,177,4331,978,6035,0
368,this post will change your life,,9,83,35196,3150,2705,1
369,stay consistent and grow,news,9,154,29162,7644,1659,0
370,learning ai is the future,meme,2,197,47546,846,5717,1
371,this post will change your life,meme,4,266,45515,7035,3897,0
372,this post will change your life,,4,87,38638,1296,1718,1
373,hard work always pays off,news,8,131,39796,5646,6609,0
374,this post will change your life,meme,3,187,45993,167,3348,1
375,,news,7,166,38831,74,5395,1
376,hard work always pays off,,3,45,24282,7426,5312,0
377,hard work always pays off,,9,164,45484,3446,6301,0
378,hard work always pays off,tech,1,55,16455,6901,5269,1
379,stay consistent and grow,meme,2,114,2631,7129,6920,0
380,this post will change your life,meme,12,84,5634,4152,1332,0
381,learning ai is the future,news,3,229,43230,5854,2035,1
382,,tech,7,9,34479,5505,2652,1
383,stay consistent and grow,tech,8,231,30559,1440,1873,1
384,hard work always pays off,education,11,178,46359,4868,5351,0
385,,education,11,116,16129,3508,5851,0
386,coding memes are funny,tech,5,109,28905,7162,2888,1
387,coding memes are funny,,13,66,36354,9278,4357,0
388,breaking news happening now,,7,11,47769,9271,7039,0
389,coding memes are funny,,11,19,6145,6887,5845,1
390,coding memes are funny,news,9,129,5664,5006,2341,1
391,hard work always pays off,motivation,4,24,8225,8892,6465,1
392,stay consistent and grow,motivation,4,99,31577,4363,4580,0
393,this post will change your life,education,7,253,2085,912,2182,1
394,stay consistent and grow,meme,14,263,9933,7817,3167,0
395,stay consistent and grow,motivation,14,111,28382,8918,6175,0
396,,meme,3,251,20627,2323,2990,1
397,coding memes are funny,meme,12,50,40585,2483,4679,0
398,this post will change your life,,2,41,22483,5611,4510,1
399,learning ai is the future,,9,129,47264,6535,756,0
400,,,14,64,45689,4072,2724,0
401,stay consistent and grow,tech,1,220,48172,8406,3381,1
402,stay consistent and grow,motivation,14,101,34875,3700,4499,0
403,coding memes are funny,motivation,12,142,449,2509,7111,1
404,learning ai is the future,meme,11,6,48139,359,7935,1
405,,meme,7,76,30415,4378,2502,1
406,learning ai is the future,,11,230,22794,5610,7964,1
407,breaking news happening now,tech,13,243,29844,8486,6049,0
408,this post will change your life,,11,178,2763,4458,1557,1
409,this post will change your life,news,14,173,11971,830,7621,0
410,breaking news happening now,motivation,4,8,24510,8683,4171,1
411,,,11,91,38034,362,3443,0
412,hard work always pays off,,5,14,49835,2738,6197,1
413,,motivation,13,117,47232,79,5801,1
414,breaking news happening now,tech,12,106,43247,1264,5805,0
415,,tech,8,9,31097,4486,248,0
416,stay consistent and grow,news,13,78,42183,7328,7451,0
417,breaking news happening now,meme,12,94,10681,9795,2649,1
418,breaking news happening now,motivation,2,117,18034,5762,1275,1
419,learning ai is the future,meme,14,84,26664,2856,1480,1
420,,motivation,3,125,20631,2650,7728,0
421,,tech,11,288,20650,8057,410,1
422,this post will change your life,,1,150,18768,7429,5286,0
423,hard work always pays off,tech,5,62,44405,1981,5723,1
424,coding memes are funny,tech,14,173,25576,9525,627,0
425,coding memes are funny,news,12,207,7914,9166,4831,0
426,coding memes are funny,motivation,8,230,38337,8088,2785,1
427,hard work always pays off,tech,11,83,46297,8858,4663,0
428,coding memes are funny,,1,261,33951,7147,5343,1
429,hard work always pays off,news,4,77,25610,2828,969,0
430,coding memes are funny,meme,9,112,23488,7891,5922,1
431,coding memes are funny,news,0,149,18547,2692,2961,0
432,hard work always pays off,news,12,264,25316,3045,7928,1
433,this post will change your life,education,11,105,27921,8518,6564,0
434,stay consistent and grow,meme,12,10,32245,5689,3963,0
435,stay consistent and grow,education,3,98,3079,8132,7319,1
436,hard work always pays off,,7,124,11546,6692,1303,1
437,hard work always pays off,motivation,2,205,30929,6876,4637,1
438,breaking news happening now,news,3,193,43784,5353,4250,0
439,learning ai is the future,news,1,197,45569,4730,2717,1
440,,news,8,29,13904,1453,3971,1
441,learning ai is the future,news,4,20,23853,8942,6938,0
442,this post will change your life,education,2,224,28036,7678,5228,0
443,this post will change your life,motivation,10,9,30379,4169,6594,1
444,this post will change your life,education,10,154,27049,8887,4090,1
445,learning ai is the future,news,9,274,25970,4969,4229,0
446,this post will change your life,motivation,11,84,5591,3693,5638,0
447,stay consistent and grow,meme,6,131,47261,8030,3446,1
448,this post will change your life,education,10,228,14387,9443,340,0
449,,tech,0,277,3374,7277,3526,0
450,hard work always pays off,meme,8,261,23075,9477,3329,1
451,stay consistent and grow,meme,6,150,1823,3022,4552,1
452,stay consistent and grow,news,12,79,21217,3159,7362,1
453,hard work always pays off,news,0,15,6955,1032,2799,0
454,,meme,3,96,20879,4160,7310,0
455,learning ai is the future,education,14,272,28230,4913,2082,1
456,hard work always pays off,motivation,6,166,40799,6542,4308,0
457,this post will change your life,education,3,84,9872,825,6928,1
458,hard work always pays off,education,6,206,37535,9861,2885,1
459,stay consistent and grow,meme,2,254,24008,4814,5262,0
460,breaking news happening now,education,3,249,27788,1018,1547,0
461,hard work always pays off,motivation,11,258,12927,3398,2720,1
462,learning ai is the future,meme,2,107,27352,6445,3964,0
463,this post will change your life,education,12,222,48812,346,2953,1
464,stay consistent and grow,news,3,238,47759,905,7877,1
465,stay consistent and grow,,11,146,12784,3679,5801,0
466,this post will change your life,education,9,245,4061,6692,2720,0
467,learning ai is the future,,12,87,16020,6453,6007,0
468,hard work always pays off,,2,132,25111,739,4108,0
469,,,9,289,38442,1997,7549,0
470,this post will change your life,meme,13,32,26234,9510,7873,1
471,this post will change your life,meme,9,244,44420,3631,3601,1
472,breaking news happening now,,4,245,37486,2305,7793,1
473,learning ai is the future,news,3,96,5408,663,6864,1
474,stay consistent and grow,meme,2,110,9712,9225,3425,0
475,stay consistent and grow,,4,240,11422,6274,6919,1
476,,,9,126,49137,4285,7479,1
477,hard work always pays off,tech,8,80,30960,8609,4572,0
478,hard work always pays off,meme,10,266,8226,2009,6021,1
479,this post will change your life,education,0,262,35335,6397,4814,0
480,coding memes are funny,motivation,13,57,12106,8869,606,1
481,breaking news happening now,education,13,260,6735,2997,5548,1
482,breaking news happening now,meme,3,291,19475,8788,7197,0
483,breaking news happening now,,12,41,4570,7203,979,1
484,stay consistent and grow,tech,6,188,11511,8000,2713,1
485,this post will change your life,education,3,122,4429,5883,659,0
486,learning ai is the future,motivation,7,172,7189,427,4535,1
487,learning ai is the future,,14,144,16821,4027,3095,1
488,breaking news happening now,education,6,253,47562,9557,2107,1
489,stay consistent and grow,news,4,59,34000,8557,6951,1
490,coding memes are funny,tech,9,229,4466,4014,1455,1
491,,meme,3,189,4176,8161,5647,1
492,,education,7,177,24522,1503,7737,1
493,stay consistent and grow,education,0,29,21199,3966,3139,1
494,coding memes are funny,education,1,174,17748,1501,4961,1
495,hard work always pays off,education,4,150,18400,8355,7234,1
496,coding memes are funny,motivation,9,162,40048,6586,3708,0
497,breaking news happening now,news,6,278,43772,6878,4290,0
498,hard work always pays off,,8,139,27676,580,1854,0
499,breaking news happening now,news,2,83,11726,4237,6437,1
500,stay consistent and grow,tech,4,290,39561,1124,7024,0
501,stay consistent and grow,tech,10,201,41870,6092,3392,1
502,learning ai is the future,motivation,1,10,42346,3859,7435,0
503,breaking news happening now,news,5,145,47610,9755,2258,0
504,hard work always pays off,tech,5,110,40524,261,7906,0
505,breaking news happening now,meme,3,286,20991,789,3313,1
506,this post will change your life,news,13,24,32251,7510,7155,1
507,stay consistent and grow,education,12,164,15157,4348,7364,0
508,hard work always pays off,news,1,228,17300,1159,3114,1
509,coding memes are funny,meme,14,118,46237,1664,3890,0
510,learning ai is the future,education,7,112,44911,7868,3494,1
511,coding memes are funny,news,7,254,34477,2726,2505,0
512,breaking news happening now,education,14,185,7977,4688,2185,1
513,coding memes are funny,education,12,69,9708,7729,6372,1
514,hard work always pays off,motivation,0,135,9414,7503,3363,0
515,this post will change your life,meme,1,285,31639,5384,3441,0
516,coding memes are funny,motivation,3,225,14543,520,6008,1
517,breaking news happening now,news,12,90,49285,5082,2274,1
518,coding memes are funny,,13,155,26497,7755,3416,1
519,coding memes are funny,education,11,273,18946,5025,5808,0
520,,news,11,27,8500,2198,3834,0
521,hard work always pays off,news,0,67,37399,482,5042,0
522,,,5,103,15471,4327,3001,1
523,,motivation,10,87,16800,264,3710,0
524,breaking news happening now,news,1,19,42323,6604,2782,1
525,,meme,2,121,42996,1395,3450,0
526,breaking news happening now,education,10,248,35093,1713,2403,0
527,this post will change your life,tech,8,286,35644,120,4306,0
528,,,6,98,18911,5162,6005,0
529,hard work always pays off,meme,3,65,25821,8321,5894,1
